Age,Income,Location,Samplingtime,Sex,Drinking,Education,Marriage,Smoking
70.62,26137.93103,11,1,2,0,1,2,0
63.428,8643.678161,11,1,1,1,2,2,0
61.952,8643.678161,11,1,2,0,1,2,0
52.95,32212.64368,11,1,1,1,1,2,0
49.013,32212.64368,11,1,2,1,2,2,0
52.137,16091.95402,11,1,2,0,1,2,0
71.882,41961.68582,11,1,1,1,2,2,0
70.234,41961.68582,11,1,2,0,1,2,1
59.017,8505.747126,11,1,1,1,2,4,0
48.389,17061.30268,11,1,1,1,2,2,0
53.068,40459.77012,11,1,2,0,2,2,0
53.413,37511.49425,11,1,2,0,2,2,0
52.167,5057.471264,11,1,2,0,1,2,0
64.898,5498.084291,11,1,1,0,3,2,0
46.886,22145.59387,11,1,1,1,4,2,1
49.309,22145.59387,11,1,2,0,2,2,0
65.227,5498.084291,11,1,2,0,3,2,0
35.077,5498.084291,11,1,2,0,2,2,0
49.539,20716.4751,11,1,2,0,1,2,0
54.765,19810.34483,11,1,2,0,1,2,0
54.697,0,11,1,2,0,1,2,0
55.882,0,11,1,1,0,2,2,0
55.014,20950.19157,11,1,1,0,1,2,1
54.56,20950.19157,11,1,2,0,3,2,0
46.007,37379.31035,11,1,2,0,2,2,0
38.201,37379.31035,11,1,1,0,2,2,1
58.661,10114.94253,11,1,1,0,4,2,0
44.219,4568.965517,11,1,1,1,2,2,0
43.346,4568.965517,11,1,2,0,2,2,0
44.29,21600,11,1,1,1,3,2,1
43.157,21600,11,1,2,0,4,2,0
45.098,22800,11,1,1,1,5,2,0
45.47,22800,11,1,2,1,5,2,0
51.945,36000,11,1,1,1,4,3,0
49.123,43200,11,1,2,0,3,2,0
61.993,36600,11,1,1,1,5,2,0
62.081,36600,11,1,2,0,3,2,0
46.93,20000,11,1,1,0,5,2,0
38.1,26800,11,1,2,0,2,2,0
46.894,26800,11,1,1,1,3,2,0
61.021,4980,11,1,2,0,1,2,0
55.658,16420,11,1,1,0,2,2,1
49.864,23400,11,1,2,0,2,2,0
52.999,23400,11,1,1,1,1,2,1
51.896,16420,11,1,2,0,2,2,0
51.88,32400,11,1,1,0,4,2,0
45.985,32000,11,1,2,0,4,2,0
46.092,32000,11,1,1,1,3,2,0
49.509,19900,11,1,2,0,2,4,0
53.068,33000,11,1,1,1,4,2,0
62.724,4980,11,1,1,0,2,2,1
64.539,459.7701149,11,1,2,0,1,2,0
71.318,2758.62069,11,1,2,0,1,2,0
52.528,43932.75862,11,1,1,1,2,2,1
11.458,128362.069,11,1,2,0,1,1,0
40.613,128362.069,11,1,2,0,2,2,0
39.236,128362.069,11,1,1,0,2,2,0
63.532,9770.114943,11,1,2,0,2,2,0
60.438,9770.114943,11,1,1,0,1,2,0
68.189,1241.37931,11,1,2,0,1,2,0
44.789,21846.7433,11,1,2,0,1,2,0
11.622,21846.7433,11,1,1,0,1,1,0
45.476,21846.7433,11,1,1,1,1,2,0
62.231,31000,11,1,2,0,1,2,0
46.226,3017.241379,11,1,1,1,2,2,1
43.762,3017.241379,11,1,2,0,2,2,0
59.444,5814.970427,11,1,1,1,1,2,0
60.575,7536.398467,11,1,2,0,1,4,0
35.044,7536.398467,11,1,1,0,1,1,1
35.543,16091.95402,11,1,2,0,4,2,0
83.734,2356.321839,11,1,1,1,1,2,1
11.387,16091.95402,11,1,1,0,1,1,0
48.903,2368.390805,11,1,2,0,2,2,0
50.467,22360.34483,11,1,1,1,2,2,1
74.379,2356.321839,11,1,2,0,1,2,0
52.81,49954.02299,11,1,2,1,2,2,0
46.5,24310.34483,11,1,2,0,1,2,0
65.826,4777.777778,11,1,1,1,2,2,1
52.438,24310.34483,11,1,1,0,1,2,1
62.954,4777.777778,11,1,2,0,1,2,0
45.355,13793.10345,11,1,1,0,2,2,0
44.293,13793.10345,11,1,2,0,1,2,0
63.973,14367.81609,11,1,2,0,1,2,0
63.863,14367.81609,11,1,1,0,2,2,0
32.216,29257.47126,11,1,2,0,2,2,0
34.289,29257.47126,11,1,1,1,2,2,0
52.167,77480.45977,11,1,1,0,2,2,0
51.912,77480.45977,11,1,2,0,2,2,0
80.255,8965.517241,11,1,1,1,1,2,1
62.185,-5752.873563,11,1,2,0,1,2,0
46.554,5582.758621,11,1,2,0,1,2,0
44.942,5582.758621,11,1,1,0,1,2,1
55.118,37931.03448,11,1,2,0,2,2,0
52.879,37931.03448,11,1,1,1,2,2,0
62.037,33031.41763,11,1,2,0,1,2,0
62.732,33031.41763,11,1,1,0,2,2,0
68.753,15586.2069,11,1,1,0,2,2,0
65.435,15586.2069,11,1,2,0,2,2,1
42.992,15586.2069,11,1,2,0,2,2,0
50.042,459.7701149,11,1,2,0,2,2,0
50.374,459.7701149,11,1,1,0,2,2,0
51.715,25065.51724,11,1,2,0,1,2,0
53.402,25065.51724,11,1,1,1,2,2,1
57.947,16666.66667,11,1,2,0,1,2,0
52.126,68764.36782,11,1,1,1,2,2,1
47.54,32107.47126,11,1,2,0,2,2,0
50.401,32107.47126,11,1,1,0,2,2,0
51.146,25666.66667,11,1,1,1,5,2,1
64.025,23100,11,1,2,0,2,2,0
64.841,23100,11,1,1,0,1,2,1
64.621,27750,11,1,2,0,2,2,0
55.641,11100,11,1,1,1,5,2,1
46.716,14800,11,1,1,0,5,2,1
20.509,14800,11,1,1,0,5,1,1
43.214,14800,11,1,2,0,5,2,0
49.038,16200,11,1,2,0,2,2,0
55.901,517.2413793,11,1,2,0,1,2,0
65.958,1047.126437,11,1,2,0,1,2,0
38.505,25770.11494,11,1,1,1,4,2,0
37.752,25770.11494,11,1,2,0,4,2,0
65.585,8275.862069,11,1,2,0,1,4,0
48.906,29195.4023,11,1,2,0,2,4,1
52.463,29328.73563,11,1,2,0,2,2,0
48.63,11034.48276,11,1,1,0,3,2,0
75.124,19991.95402,11,1,1,0,4,2,0
70.522,19991.95402,11,1,2,0,2,2,0
47.439,2260.536399,11,1,1,1,2,2,1
8.652,10747.12644,11,1,1,0,1,1,0
62.754,18160.91954,11,1,1,1,1,2,0
55.247,49390.8046,11,1,1,1,2,2,1
57.916,482.7586207,11,1,2,0,3,2,0
55.94,35919.54023,11,1,2,0,5,2,0
61.309,35919.54023,11,1,1,1,3,2,1
54.65,12114.94253,11,1,1,1,1,2,1
52.632,16867.81609,11,1,1,1,1,2,1
53.503,12356.32184,11,1,2,1,3,2,0
47.726,23256.70498,11,1,1,1,2,2,1
9.596,482.7586207,11,1,1,0,1,1,0
48.687,77197.98851,11,1,1,1,2,2,1
65.566,12383.25123,11,1,1,0,1,2,1
66.897,12383.25123,11,1,2,0,1,2,0
26.96,12383.25123,11,1,2,0,2,2,0
56.893,5558.62069,11,1,2,0,1,2,1
31.028,14980.84291,11,1,2,0,1,2,1
51.118,29258.81226,11,1,2,0,1,2,0
49.925,18390.8046,11,1,2,0,2,2,0
47.368,18390.8046,11,1,1,0,2,2,1
24.994,12114.94253,11,1,2,0,3,2,0
25.673,12114.94253,11,1,1,0,2,2,0
48.539,10287.35632,11,1,1,1,1,2,0
49.802,21513.40996,11,1,2,0,1,2,0
59.231,5747.126437,11,1,2,0,1,2,0
52.81,8419.54023,11,1,2,0,2,2,1
57.977,1103.448276,11,1,1,1,2,2,1
65.96,221621.8391,11,1,1,1,1,4,1
56.2,14365.74713,11,1,1,0,1,2,1
59.107,482.7586207,11,1,1,1,3,2,0
60.129,30480.5,10,1,1,1,2,2,1
49.788,13800,10,1,2,0,2,2,0
53.84,43150,10,1,2,0,2,2,0
58.867,25384.61539,10,1,1,1,4,2,0
57.429,25384.61539,10,1,2,0,3,2,0
32.616,242307.6923,10,1,2,0,3,2,0
88.46,44551.28205,10,1,2,0,3,2,0
51.203,22852.5641,10,1,2,0,5,2,0
22.401,11217.94872,10,1,2,0,5,1,0
76.416,39423.07692,10,1,2,0,1,2,0
67.929,2000,10,1,2,0,2,2,0
56.819,22000,10,1,1,1,1,2,1
